time	manip	gran	press	averat	laba	proba	StZn	cell_1	cell_2	cell_3
1	0	1	0	1	1	0	0	3	0	8	
2	0	1	0	1	1	0	0	3	0	8	
3	0	1	0	1	1	0	0	3	0	8	
4	0	1	0	2	1	0	0	3	0	8	
5	0	2	0	2	1	0	0	3	0	8	
6	0	2	0	2	1	0	0	3	0	8	
7	1	2	0	0	0	0	0	4	0	8	
8	1	2	0	0	0	0	0	4	0	8	
9	1	0	0	0	0	1	0	4	0	8	
10	1	0	0	0	0	1	0	4	0	8	
11	1	0	0	0	1	2	0	4	0	8	
12	1	0	0	1	1	2	0	0	0	8	
13	1	0	0	1	1	2	0	0	0	8	
14	1	0	0	1	1	2	0	0	0	8	
15	0	0	0	1	1	2	1	0	0	8	
16	0	0	0	1	1	2	1	0	0	8	
17	0	0	0	2	1	2	1	0	0	8	
18	0	0	0	2	1	2	2	0	0	8	
19	0	0	0	2	1	2	2	0	0	8	
20	0	0	0	2	1	2	2	0	0	8	
21	1	0	0	2	0	0	2	0	0	8	
22	1	0	0	2	0	0	2	0	0	8	
23	1	0	0	2	0	0	2	0	0	8	
24	1	0	0	3	0	0	2	8	0	8	
25	1	0	0	3	0	0	2	8	0	8	
26	0	0	0	3	0	1	2	8	0	8	
27	1	0	0	0	0	1	2	0	0	8	
28	1	0	0	0	1	2	2	0	0	8	
29	1	0	1	0	1	2	2	0	0	8	
30	1	0	1	0	1	2	2	0	0	8	
31	1	0	1	0	1	2	2	0	0	8	
32	1	0	1	0	1	2	2	0	0	8	
33	1	0	0	0	1	2	2	0	0	8	
34	3	1	0	0	1	2	2	0	0	8	
35	3	1	0	0	1	2	2	0	0	8	
36	3	1	0	0	1	2	2	0	0	8	
37	1	1	0	0	1	2	0	0	0	8	
38	1	1	0	1	0	0	0	0	0	8	
39	1	1	0	1	0	0	0	0	0	8	
40	1	1	0	1	0	0	0	0	0	8	
41	0	2	0	1	0	0	0	4	0	8	
42	0	2	0	1	0	0	0	4	0	8	
43	1	2	0	0	0	0	0	4	0	8	
44	1	2	0	0	0	0	0	4	0	8	
45	1	0	0	0	0	1	0	4	0	8	
46	1	0	0	0	0	1	0	4	0	8	
47	1	0	0	0	1	2	0	4	0	8	
48	0	0	0	1	1	2	0	4	0	8	
49	0	0	0	1	1	2	0	4	0	8	
50	0	0	0	1	1	2	0	4	0	8	
51	0	0	0	1	1	2	0	4	0	8	
52	0	0	0	1	1	2	0	4	0	8	
53	0	0	0	2	1	2	0	4	0	8	
54	0	0	0	2	1	2	0	4	0	8	
55	0	0	0	2	1	2	0	4	0	8	
56	0	0	0	2	1	2	0	4	0	8	
57	1	0	0	2	0	0	0	4	0	8	
58	1	0	0	2	0	0	0	4	0	8	
59	1	0	0	2	0	0	0	4	0	8	
60	1	0	0	3	0	0	0	8	0	8	
61	1	0	0	3	0	0	0	8	0	8	
62	0	0	0	3	0	1	0	8	0	8	
63	1	0	0	0	0	1	0	0	0	8	
64	1	0	0	0	1	2	0	0	0	8	
65	1	0	1	0	1	2	0	0	0	8	
66	1	0	1	0	1	2	0	0	0	8	
67	1	0	1	0	1	2	0	0	0	8	
68	1	0	1	0	1	2	0	0	0	8	
69	1	0	0	0	1	2	0	0	0	8	
70	0	1	0	0	1	2	0	0	0	8	
71	0	1	0	0	1	2	0	0	0	8	
72	0	1	0	0	1	2	0	0	0	8	
73	0	1	0	0	1	2	0	0	0	8	
74	1	1	0	0	0	0	0	0	0	8	
75	1	1	0	0	0	0	0	0	0	8	
76	1	1	0	0	0	0	0	0	0	8	
77	1	3	0	0	0	0	0	4	0	8	
78	1	3	0	0	0	0	0	4	0	8	
79	1	3	0	0	0	0	0	4	0	8	
80	0	0	0	1	0	0	0	4	0	8	
81	0	0	0	1	0	0	0	4	0	8	
82	0	0	0	1	0	0	0	4	0	8	
83	0	0	0	1	0	0	0	4	0	8	
84	0	0	0	1	0	0	0	4	0	8	
85	1	0	0	0	0	0	0	4	0	8	
86	1	0	0	0	0	0	0	4	0	8	
87	1	0	0	0	0	1	0	4	0	0	
88	1	0	0	0	0	1	0	4	0	0	
89	1	0	1	0	1	2	0	4	0	0	
90	1	0	1	0	1	2	0	4	0	0	
91	1	0	1	0	1	2	0	4	0	0	
92	1	0	1	0	1	2	0	4	0	0	
93	1	0	0	0	1	2	0	4	0	0	
94	3	1	0	0	1	2	0	4	0	0	
95	3	1	0	0	1	2	0	4	0	0	
96	3	1	0	0	1	2	0	4	0	0	
97	0	1	0	0	1	2	0	4	0	0	
98	0	1	0	0	1	2	0	4	0	0	
99	1	1	0	0	0	0	0	4	0	0	
